2026-06-18 01:50:21  No data posted with HTTP POST.
2026-06-18 02:14:11  INSERT INTO nodo_establecimientos_experimentos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('71.45', '1.002734', '28.59', '19.86', '0.00', '0', '-2.00', '0.0000', '0.0000', '0.0', '0.00', '20:14:12', '1215', '0', '0', '99', '20:7:3', '17:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:14:41  INSERT INTO nodo_establecimientos_experimentos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('71.08', '1.002753', '31.76', '19.95', '0.00', '0', '-2.00', '0.0000', '0.0000', '0.0', '0.00', '20:14:42', '1195', '0', '0', '99', '20:7:33', '17:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:15:10  INSERT INTO nodo_establecimientos_experimentos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('70.94', '1.002753', '33.23', '19.99', '0.00', '0', '-2.00', '0.0000', '0.0000', '0.0', '0.00', '20:15:11', '1151', '0', '0', '99', '20:8:2', '17:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:15:42  INSERT INTO nodo_establecimientos_experimentos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('70.70', '1.002734', '33.96', '20.03', '0.00', '0', '-2.00', '0.0000', '0.0000', '0.0', '0.00', '20:15:40', '1640', '0', '0', '100', '20:8:31', '17:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:16:10  INSERT INTO nodo_establecimientos_experimentos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('70.67', '1.002675', '33.91', '20.05', '0.00', '0', '-2.00', '0.0000', '0.0000', '0.0', '0.00', '20:16:10', '1624', '0', '0', '99', '20:9:2', '17:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:16:40  INSERT INTO nodo_establecimientos_experimentos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('70.55', '1.002665', '34.61', '20.07', '0.00', '0', '-2.00', '0.0000', '0.0000', '0.0', '0.00', '20:16:40', '1472', '0', '0', '100', '20:9:31', '17:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:25:36  INSERT INTO nodo_establecimientos_experimentos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('72.55', '1.002813', '10.93', '20.55', '0.00', '0', '-2.00', '0.0000', '0.0000', '0.0', '0.00', '21:0:1', '1585', '0', '0', '100', '20:13:45', '17:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:26:02  INSERT INTO nodo_establecimientos_experimentos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('70.85', '1.002872', '20.68', '20.09', '0.00', '0', '-2.00', '0.0000', '0.0000', '0.0', '0.00', '20:26:0', '1223', '0', '0', '100', '20:14:14', '17:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:26:18  INSERT INTO nodo_establecimientos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('70.62', '1.002892', '25.11', '20.14', '0.00', '0', '-2.00', '0.0000', '0.0000', '0.0', '0.00', '20:26:16', '1108', '0', '0', '100', '20:14:30', '17:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:26:48  INSERT INTO nodo_establecimientos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('70.42', '1.002951', '29.65', '20.21', '0.00', '0', '-2.00', '0.0000', '0.0000', '0.0', '0.00', '20:26:45', '1363', '0', '0', '100', '20:15:0', '17:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:27:18  INSERT INTO nodo_establecimientos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('70.36', '1.003010', '31.19', '20.27', '0.00', '0', '-2.00', '0.0000', '0.0000', '0.0', '0.00', '20:27:16', '1365', '0', '0', '100', '20:15:30', '17:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:27:47  INSERT INTO nodo_establecimientos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('70.08', '1.003050', '32.81', '20.29', '0.00', '0', '-2.00', '0.0000', '0.0000', '0.0', '0.00', '20:27:45', '1232', '0', '0', '100', '20:16:0', '17:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:28:17  INSERT INTO nodo_establecimientos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('69.93', '1.003020', '34.33', '20.31', '0.00', '0', '-2.00', '0.0000', '0.0000', '0.0', '0.00', '20:28:14', '1401', '0', '0', '100', '20:16:29', '17:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:28:47  INSERT INTO nodo_establecimientos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('69.84', '1.002961', '34.70', '20.31', '0.00', '0', '-2.00', '0.0000', '0.0000', '0.0', '0.00', '20:28:45', '1252', '0', '0', '100', '20:16:59', '17:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
2026-06-18 02:29:16  INSERT INTO nodo_establecimientos (S1_h, S1_p, S1_v, S1_t, S2_r, S2_n, S3_n, S4_long, S4_lat, S4_a, S4_v, S4_h, S5_i, S6_t, S7_c02, S8_n, S9_rtc, S10_f, nodo, fecha_unix) VALUES ('70.08', '1.002882', '32.78', '20.24', '0.00', '0', '-2.00', '-71.6326', '-33.0378', '1.2', '5.15', '20:29:14', '1043', '0', '0', '100', '20:17:28', '17:6:2026', 'A0:DD:6C:AD:BD:70', UNIX_TIMESTAMP())
